Seq6953;ee=0.016;size=7;	Unsorted_Q37
Seq6976;ee=0.018;size=6;	Unsorted_J1
Seq6999;ee=0.018;size=6;	Unsorted_Q18
Seq7004;ee=0.015;size=6;	Unsorted_E26
Seq7041;ee=0.0059;size=6;	Unsorted_A33
Seq7070;ee=0.3;size=6;	Unsorted_F25
Seq7100;ee=0.0059;size=6;	Unsorted_A17
Seq7182;ee=0.0059;size=6;	Unsorted_A49
Seq7201;ee=0.013;size=6;	Unsorted_L6
Seq7238;ee=0.015;size=6;	Unsorted_E19
Seq7249;ee=0.015;size=6;	Unsorted_Q27
Seq7261;ee=0.017;size=6;	Unsorted_J64
Seq7299;ee=0.0062;size=6;	CTLA-Avidin44_N
Seq7316;ee=0.0062;size=6;	Unsorted_N28
Seq7339;ee=0.017;size=6;	Unsorted_J26
Seq7354;ee=0.023;size=6;	Unsorted_C39
Seq7357;ee=0.057;size=6;	Unsorted_I51
Seq7377;ee=0.017;size=6;	Unsorted_J67
Seq7433;ee=0.017;size=5;	Unsorted_J7
Seq7447;ee=0.025;size=5;	Unsorted_C14
Seq7465;ee=0.018;size=5;	Unsorted_B72
Seq7462;ee=0.0062;size=5;	Luciferase26_N
Seq7475;ee=0.0062;size=5;	VEGF49_N
Seq7508;ee=0.017;size=5;	Unsorted_J38
Seq7516;ee=0.015;size=5;	PD1-Avidin9_E
Seq7521;ee=0.021;size=5;	Unsorted_G47
Seq7534;ee=0.017;size=5;	Unsorted_F68
Seq7553;ee=0.0062;size=5;	VEGF35_N
Seq7574;ee=0.0089;size=5;	Unsorted_M2
Seq7575;ee=0.015;size=5;	Unsorted_D5
Seq7588;ee=0.021;size=5;	Unsorted_I50
Seq7776;ee=0.016;size=5;	Unsorted_E20
Seq7813;ee=0.017;size=5;	Unsorted_J47
Seq7807;ee=0.042;size=5;	Unsorted_I49
Seq7833;ee=0.016;size=5;	Unsorted_B61
Seq4471;ee=0.018;size=17;	Unsorted_L65
Seq7913;ee=0.042;size=4;	Unsorted_J18
Seq7950;ee=0.012;size=4;	Unsorted_P32
Seq7961;ee=0.015;size=4;	Unsorted_E71
Seq7977;ee=0.046;size=4;	Unsorted_I36
Seq8054;ee=0.015;size=4;	Unsorted_E49
Seq8092;ee=0.015;size=4;	Unsorted_Q31
Seq8108;ee=0.0062;size=4;	Unsorted_N4
Seq8137;ee=0.015;size=4;	Unsorted_E51
Seq8131;ee=0.011;size=4;	Unsorted_H4
Seq8146;ee=0.067;size=4;	Unsorted_B11
Seq8237;ee=0.0059;size=4;	PD1-Avidin48_A
Seq8248;ee=0.022;size=4;	Unsorted_C68
Seq8292;ee=0.018;size=4;	Unsorted_Q55
Seq8351;ee=0.015;size=4;	Unsorted_E32
Seq8350;ee=0.042;size=4;	Unsorted_J19
Seq8369;ee=0.02;size=4;	Unsorted_F11
Seq8375;ee=0.017;size=4;	Unsorted_J72
Seq8384;ee=0.0059;size=4;	Unsorted_A11
Seq8391;ee=0.014;size=4;	PE37_O
Seq8414;ee=0.012;size=4;	Unsorted_P12
Seq8425;ee=0.015;size=4;	Unsorted_Q30
Seq8440;ee=0.0062;size=4;	Unsorted_N3
Seq8445;ee=0.021;size=4;	Unsorted_G33
Seq8466;ee=0.13;size=4;	Unsorted_F43
Seq8471;ee=0.017;size=4;	Unsorted_J66
Seq8493;ee=0.022;size=3;	Unsorted_E43
Seq8530;ee=0.022;size=3;	Unsorted_C62
Seq8576;ee=0.0095;size=3;	GFP24_A
Seq8624;ee=0.0059;size=3;	Unsorted_A31
Seq8635;ee=0.023;size=3;	Unsorted_C37
Seq8640;ee=0.0059;size=3;	PE49_A
Seq8697;ee=0.014;size=3;	Unsorted_O43
Seq8762;ee=0.01;size=3;	Unsorted_N14
Seq8788;ee=0.083;size=3;	Unsorted_E3
Seq8817;ee=0.015;size=3;	Unsorted_Q63
Seq8863;ee=0.017;size=3;	Unsorted_J15
Seq8904;ee=0.0059;size=3;	Luciferase24_A
Seq8908;ee=0.0062;size=3;	Unsorted_N27
Seq8961;ee=0.0059;size=3;	PE10_A
Seq8960;ee=0.018;size=3;	Unsorted_L21
Seq9006;ee=0.12;size=3;	Unsorted_F63
Seq9066;ee=0.016;size=3;	Unsorted_B27
Seq9089;ee=0.011;size=3;	Unsorted_H42
Seq9133;ee=0.0062;size=3;	Unsorted_N43
Seq9199;ee=0.012;size=3;	Unsorted_P58
Seq9207;ee=0.017;size=3;	Unsorted_F7
Seq9228;ee=0.015;size=3;	Unsorted_E24
Seq9238;ee=0.0062;size=3;	Unsorted_N60
Seq9395;ee=0.59;size=2;	Unsorted_J21
Seq9414;ee=0.023;size=2;	Unsorted_B52
Seq9421;ee=0.0062;size=2;	VEGF43_N
Seq9466;ee=0.0062;size=2;	Unsorted_N5
Seq9495;ee=0.048;size=2;	Unsorted_C51
Seq9528;ee=0.21;size=2;	Unsorted_Q6
Seq9557;ee=0.0062;size=2;	Unsorted_N58
Seq9588;ee=0.0092;size=2;	Unsorted_M61
Seq9593;ee=0.014;size=2;	PE47_O
Seq9604;ee=0.012;size=2;	Unsorted_P38
