Seq1324;ee=0.0059;size=23;	GFP37_A
Seq1323;ee=0.016;size=23;	Unsorted_B69
Seq1342;ee=0.068;size=23;	Unsorted_B47
Seq1362;ee=0.0059;size=22;	Unsorted_A15
Seq1379;ee=0.01;size=22;	CTLA-Avidin47_A
Seq1380;ee=0.0062;size=22;	Unsorted_N58
Seq1416;ee=0.017;size=21;	Unsorted_J29
Seq1415;ee=0.016;size=21;	Native_B1
Seq1427;ee=0.0059;size=21;	GFP40_A
Seq1442;ee=0.0059;size=21;	PD1-Avidin46_A
Seq1441;ee=0.016;size=21;	Unsorted_B62
Seq1449;ee=0.0059;size=21;	PD1-Avidin25_A
Seq1457;ee=0.0059;size=21;	PD1-Avidin40_A
Seq1462;ee=0.067;size=21;	Unsorted_F19
Seq1467;ee=0.0059;size=21;	Unsorted_A4
Seq1473;ee=0.012;size=21;	PD1-Avidin30_N
Seq1492;ee=0.016;size=20;	Unsorted_B52
Seq1486;ee=0.0059;size=20;	Unsorted_A65
Seq1510;ee=0.013;size=20;	Unsorted_L8
Seq1520;ee=0.017;size=20;	Unsorted_D44
Seq1533;ee=0.015;size=20;	Unsorted_Q29
Seq1534;ee=0.013;size=20;	Unsorted_L5
Seq1536;ee=0.015;size=20;	Unsorted_Q2
Seq1547;ee=0.18;size=20;	Unsorted_B63
Seq1554;ee=0.0059;size=20;	PD1-Avidin4_A
Seq1571;ee=0.0059;size=19;	Unsorted_A21
Seq1576;ee=0.017;size=19;	PD1-Avidin12_A
Seq1584;ee=0.0059;size=19;	Unsorted_A14
Seq1582;ee=0.0059;size=19;	GFP33_A
Seq1589;ee=0.075;size=19;	Unsorted_D12
Seq1599;ee=0.012;size=19;	Unsorted_P44
Seq1597;ee=0.014;size=19;	PE17_O
Seq1623;ee=0.015;size=19;	Unsorted_Q49
Seq1628;ee=0.011;size=19;	Unsorted_H12
Seq1632;ee=0.0062;size=19;	VEGF9_N
Seq1674;ee=0.0059;size=18;	CTLA-Avidin24_A
Seq1690;ee=0.012;size=18;	Unsorted_P43
Seq1684;ee=0.046;size=18;	Unsorted_J75
Seq1691;ee=0.0062;size=18;	Luciferase5_N
Seq1718;ee=0.0062;size=18;	Unsorted_N41
Seq1706;ee=0.012;size=18;	Unsorted_P60
Seq1753;ee=0.015;size=17;	Native_D1
Seq1752;ee=0.013;size=17;	Unsorted_L53
Seq1783;ee=0.0062;size=17;	PD1-Avidin27_N
Seq1780;ee=0.011;size=17;	Unsorted_H71
Seq1806;ee=0.015;size=17;	Unsorted_Q60
Seq1805;ee=0.62;size=17;	Unsorted_Q26
Seq1820;ee=0.0059;size=17;	Luciferase22_A
Seq1819;ee=0.0062;size=17;	VEGF17_N
Seq1840;ee=0.017;size=17;	Unsorted_J3
Seq1888;ee=0.0062;size=16;	Unsorted_N38
Seq1898;ee=0.014;size=16;	PE44_O
Seq1913;ee=0.42;size=16;	Unsorted_E11
Seq1918;ee=0.26;size=16;	Unsorted_O19
Seq1928;ee=0.049;size=16;	Unsorted_G33
Seq1949;ee=0.016;size=16;	Unsorted_B71
Seq1948;ee=0.04;size=16;	Unsorted_O28
Seq1962;ee=0.012;size=16;	Unsorted_P72
Seq1970;ee=0.015;size=16;	Unsorted_Q61
Seq1982;ee=0.013;size=15;	Unsorted_L7
Seq1977;ee=0.014;size=16;	Unsorted_D54
Seq1991;ee=0.013;size=15;	Unsorted_L68
Seq2014;ee=0.011;size=15;	Unsorted_H70
Seq2031;ee=0.046;size=15;	Unsorted_Q6
Seq2052;ee=0.041;size=15;	Unsorted_B65
Seq2059;ee=0.015;size=15;	Native_Q1
Seq2066;ee=0.014;size=15;	CTLA-Tris-Carb16_O
Seq2065;ee=0.011;size=15;	Unsorted_H51
Seq2090;ee=0.047;size=15;	Unsorted_F18
Seq2139;ee=0.0062;size=14;	Unsorted_N18
Seq2142;ee=0.015;size=14;	Unsorted_E47
Seq2153;ee=0.022;size=14;	Unsorted_G40
Seq2175;ee=0.015;size=14;	Unsorted_Q36
Seq2186;ee=0.011;size=14;	Unsorted_H60
Seq2183;ee=0.014;size=14;	Unsorted_O6
Seq2210;ee=0.38;size=14;	Unsorted_Q28
Seq2216;ee=0.0062;size=14;	Unsorted_N6
Seq2230;ee=0.25;size=14;	Unsorted_E54
Seq2255;ee=0.015;size=13;	Unsorted_Q41
Seq2254;ee=0.012;size=13;	Unsorted_P56
Seq2261;ee=0.0059;size=13;	Unsorted_A33
Seq2264;ee=0.015;size=13;	PE34_O
Seq2281;ee=0.017;size=13;	Unsorted_J38
Seq2273;ee=0.0062;size=13;	Unsorted_N42
Seq2289;ee=0.016;size=13;	Unsorted_B36
Seq2306;ee=0.017;size=13;	Unsorted_B46
Seq2311;ee=0.0059;size=13;	GFP44_A
Seq2321;ee=0.0059;size=13;	CTLA-Avidin46_A
Seq2320;ee=0.38;size=13;	Unsorted_G68
Seq8;ee=0.018;size=12343;	Unsorted_J49
Seq2377;ee=0.012;size=13;	Unsorted_P12
Seq2406;ee=0.0062;size=13;	CTLA-Avidin3_N
Seq2431;ee=0.016;size=12;	Unsorted_B34
Seq2439;ee=0.016;size=12;	PE20_O
Seq2459;ee=0.011;size=12;	Unsorted_H44
Seq2483;ee=0.013;size=12;	Unsorted_L64
Seq2490;ee=0.014;size=12;	Unsorted_D1
Seq2499;ee=0.12;size=12;	Unsorted_F30
Seq2500;ee=0.018;size=12;	Unsorted_I49
Seq2498;ee=0.0059;size=12;	CTLA-Avidin50_A
Seq2510;ee=0.015;size=12;	Unsorted_E26
Seq2515;ee=0.012;size=12;	Unsorted_H41
Seq2576;ee=0.17;size=12;	Unsorted_L31
Seq2577;ee=0.015;size=12;	Unsorted_D60
Seq2587;ee=0.017;size=12;	Unsorted_J18
Seq2584;ee=0.0059;size=12;	Unsorted_A1
Seq2607;ee=0.0059;size=12;	Unsorted_A43
Seq2619;ee=0.017;size=12;	Unsorted_J34
Seq2614;ee=0.014;size=12;	PE14_O
Seq2638;ee=0.013;size=11;	Unsorted_L29
Seq2647;ee=0.014;size=11;	PE15_O
Seq2654;ee=0.44;size=11;	Unsorted_J66
Seq2658;ee=0.015;size=11;	Unsorted_D50
Seq2672;ee=0.015;size=11;	Unsorted_Q38
Seq2706;ee=0.0059;size=11;	GFP46_A
Seq2751;ee=0.014;size=11;	Unsorted_L1
Seq2746;ee=0.0059;size=11;	Unsorted_A61
Seq2790;ee=0.0062;size=11;	Unsorted_N40
Seq2816;ee=0.015;size=11;	Native_E1
Seq2839;ee=0.017;size=11;	PD1-Avidin47_J
Seq2847;ee=0.0059;size=11;	Unsorted_A62
Seq2849;ee=0.014;size=11;	Unsorted_D30
Seq2852;ee=0.013;size=11;	Unsorted_L48
Seq2898;ee=0.0059;size=10;	PD1-Avidin49_A
Seq2907;ee=0.014;size=10;	Unsorted_O43
Seq2893;ee=0.0062;size=10;	Unsorted_N34
Seq2924;ee=0.015;size=10;	Native_P1
Seq2947;ee=0.0062;size=10;	PD1-Avidin34_N
Seq2983;ee=0.0059;size=10;	Unsorted_A57
Seq2998;ee=0.0087;size=10;	Unsorted_M52
Seq3008;ee=0.015;size=10;	Unsorted_Q20
Seq3030;ee=0.02;size=10;	Unsorted_G5
Seq3048;ee=0.016;size=10;	Unsorted_B27
Seq3076;ee=0.012;size=10;	Unsorted_P66
Seq3113;ee=0.011;size=10;	Unsorted_H9
Seq3124;ee=0.014;size=10;	Unsorted_D26
Seq3135;ee=0.014;size=10;	Unsorted_D75
Seq3193;ee=0.011;size=9;	Unsorted_H62
Seq3188;ee=0.013;size=9;	Unsorted_L57
Seq3200;ee=0.016;size=9;	Unsorted_Q13
Seq3190;ee=0.018;size=9;	Unsorted_I32
Seq3229;ee=0.0059;size=9;	Unsorted_A2
Seq3265;ee=0.046;size=9;	Unsorted_G28
Seq3294;ee=0.018;size=9;	Unsorted_J31
Seq3299;ee=0.0059;size=9;	PD1-Avidin39_A
Seq3324;ee=0.015;size=9;	PD1-Avidin13_E
Seq3343;ee=0.015;size=9;	Unsorted_Q71
Seq3348;ee=0.015;size=9;	Unsorted_E52
Seq3345;ee=0.017;size=9;	Unsorted_J23
Seq3379;ee=0.0088;size=9;	Unsorted_M51
Seq3378;ee=0.0059;size=9;	Unsorted_A51
Seq3418;ee=0.014;size=9;	Unsorted_D16
Seq3436;ee=0.015;size=9;	Unsorted_Q37
Seq3442;ee=0.038;size=9;	Unsorted_P40
Seq3450;ee=0.011;size=9;	Unsorted_H53
Seq3461;ee=0.017;size=9;	Unsorted_F5
Seq3460;ee=0.0062;size=9;	Unsorted_N37
Seq3497;ee=0.017;size=8;	Unsorted_J63
Seq3496;ee=0.043;size=8;	Unsorted_F31
Seq3561;ee=0.014;size=8;	Unsorted_D66
Seq3581;ee=0.017;size=8;	Unsorted_J27
Seq3589;ee=0.0059;size=8;	Unsorted_A22
Seq3599;ee=0.017;size=8;	Unsorted_F20
Seq3598;ee=0.011;size=8;	Unsorted_H26
Seq3602;ee=0.016;size=8;	Unsorted_B14
Seq3632;ee=0.048;size=8;	Unsorted_H52
Seq3636;ee=0.014;size=8;	Unsorted_O8
Seq3671;ee=0.011;size=8;	PE10_A
Seq3682;ee=0.014;size=8;	PE11_O
Seq3694;ee=0.0086;size=8;	Unsorted_M32
Seq3712;ee=0.012;size=8;	Unsorted_P46
Seq3719;ee=0.034;size=8;	Unsorted_M13
Seq3721;ee=0.011;size=8;	Unsorted_H32
Seq3724;ee=0.014;size=8;	Unsorted_E59
Seq3759;ee=0.0059;size=8;	Unsorted_A63
Seq3777;ee=0.015;size=8;	Unsorted_Q55
Seq3804;ee=0.011;size=8;	Unsorted_H28
Seq3818;ee=0.018;size=8;	Unsorted_L19
Seq3858;ee=0.015;size=8;	Unsorted_Q52
Seq3891;ee=0.02;size=7;	CTLA-Avidin18_E
Seq3892;ee=0.0062;size=7;	Unsorted_N27
Seq3927;ee=0.12;size=7;	Unsorted_Q42
Seq3931;ee=0.012;size=7;	Unsorted_P36
Seq3921;ee=0.018;size=7;	Unsorted_F25
Seq3934;ee=0.014;size=7;	Unsorted_O42
Seq3944;ee=0.086;size=7;	Unsorted_N72
Seq3957;ee=0.015;size=7;	Unsorted_E68
Seq4005;ee=0.016;size=7;	GFP4_A
Seq4012;ee=0.019;size=7;	Unsorted_F4
Seq4015;ee=0.014;size=7;	Unsorted_D27
Seq3995;ee=0.0062;size=7;	Unsorted_N61
Seq4025;ee=0.013;size=7;	Unsorted_L14
Seq4031;ee=0.0059;size=7;	GFP19_A
Seq4095;ee=0.0062;size=7;	Unsorted_N23
Seq4088;ee=0.017;size=7;	Unsorted_F71
Seq4101;ee=0.0059;size=7;	Unsorted_A70
Seq4143;ee=0.015;size=7;	Unsorted_Q62
Seq4200;ee=0.022;size=7;	Unsorted_C73
Seq4201;ee=0.0062;size=7;	Luciferase41_N
Seq4274;ee=0.0059;size=7;	Unsorted_A56
Seq4300;ee=0.0059;size=7;	Unsorted_A67
Seq4309;ee=0.0059;size=7;	Unsorted_A19
Seq4421;ee=0.31;size=6;	Unsorted_I52
Seq4435;ee=0.013;size=6;	Unsorted_L15
Seq4440;ee=0.016;size=6;	Unsorted_Q33
Seq4458;ee=0.0059;size=6;	Unsorted_A44
Seq4454;ee=0.014;size=6;	CTLA-Tris-Carb13_O
Seq4453;ee=0.015;size=6;	Unsorted_E66
Seq4480;ee=0.014;size=6;	Unsorted_O1
Seq4504;ee=0.022;size=6;	Unsorted_G62
Seq4558;ee=0.014;size=6;	Unsorted_D67
Seq4638;ee=0.016;size=6;	Unsorted_E22
Seq4640;ee=0.0062;size=6;	VEGF25_N
Seq4649;ee=0.0062;size=6;	Native_N1
Seq4713;ee=0.015;size=6;	Unsorted_D64
Seq4710;ee=0.0062;size=6;	PE4_N
Seq4723;ee=0.0062;size=6;	VEGF33_N
Seq4736;ee=0.0062;size=6;	PD1-Avidin45_N
