Seq1974;ee=0.0059;size=49;	GFP15_A
Seq2010;ee=0.27;size=48;	Native_F1
Seq2018;ee=0.017;size=48;	Unsorted_F17
Seq2016;ee=0.0062;size=48;	Unsorted_N18
Seq2022;ee=0.015;size=48;	Unsorted_E54
Seq2031;ee=0.21;size=48;	CTLA-Avidin50_A
Seq2045;ee=0.0059;size=47;	Unsorted_A38
Seq2050;ee=0.015;size=47;	PD1-Avidin11_E
Seq2049;ee=0.015;size=47;	Unsorted_E56
Seq2055;ee=0.013;size=47;	Unsorted_L7
Seq2075;ee=0.017;size=47;	Unsorted_J65
Seq2113;ee=0.016;size=46;	Native_B1
Seq2123;ee=0.0059;size=46;	Unsorted_A51
Seq2158;ee=0.0062;size=45;	Unsorted_N40
Seq2165;ee=0.015;size=45;	Unsorted_E35
Seq2179;ee=0.02;size=45;	Unsorted_G15
Seq2178;ee=0.022;size=45;	Unsorted_G68
Seq2236;ee=0.012;size=44;	Native_P1
Seq2261;ee=0.0062;size=43;	Unsorted_N31
Seq2281;ee=0.015;size=43;	Unsorted_E37
Seq2295;ee=0.013;size=42;	Unsorted_L56
Seq2304;ee=0.012;size=42;	Unsorted_P27
Seq2343;ee=0.013;size=42;	Unsorted_L16
Seq2374;ee=0.022;size=41;	Unsorted_D52
Seq2403;ee=0.0059;size=40;	PD1-Avidin25_A
Seq2447;ee=0.01;size=40;	Luciferase23_N
Seq2459;ee=0.017;size=39;	Unsorted_J41
Seq2482;ee=0.0059;size=39;	PD1-Avidin23_A
Seq2475;ee=0.012;size=39;	Unsorted_P60
Seq2511;ee=0.018;size=38;	Unsorted_B59
Seq2510;ee=0.017;size=38;	Unsorted_J34
Seq2525;ee=0.0062;size=38;	VEGF17_N
Seq2528;ee=0.042;size=38;	Unsorted_F4
Seq2546;ee=0.012;size=38;	Unsorted_P13
Seq2560;ee=0.013;size=37;	Unsorted_L45
Seq2559;ee=0.011;size=37;	PE29_N
Seq2565;ee=0.0062;size=37;	VEGF6_N
Seq2574;ee=0.012;size=37;	Unsorted_P33
Seq2582;ee=0.02;size=37;	Unsorted_J63
Seq2589;ee=0.017;size=37;	Unsorted_F5
Seq2606;ee=0.014;size=37;	PE26_O
Seq2691;ee=0.0062;size=35;	VEGF1_N
Seq2701;ee=0.011;size=35;	VEGF34_N
Seq2697;ee=0.015;size=35;	PD1-Avidin13_E
Seq2742;ee=0.021;size=34;	Unsorted_J20
Seq2739;ee=0.011;size=34;	Unsorted_P62
Seq2771;ee=0.0062;size=34;	VEGF48_N
Seq2778;ee=0.0059;size=34;	Unsorted_A70
Seq2809;ee=0.0062;size=33;	Luciferase1_N
Seq2865;ee=0.017;size=33;	Unsorted_F71
Seq2870;ee=0.014;size=33;	Unsorted_D46
Seq2894;ee=0.0059;size=32;	GFP1_A
Seq2903;ee=0.018;size=32;	Unsorted_F40
Seq2916;ee=0.0059;size=32;	Luciferase7_A
Seq2910;ee=0.02;size=32;	Unsorted_L8
Seq2938;ee=0.0062;size=32;	Unsorted_N17
Seq2946;ee=0.015;size=31;	PE40_O
Seq2967;ee=0.0059;size=31;	Unsorted_A42
Seq2978;ee=0.018;size=31;	Unsorted_J28
Seq3032;ee=0.18;size=30;	Unsorted_O36
Seq3089;ee=0.044;size=30;	Unsorted_I12
Seq3101;ee=0.015;size=30;	Unsorted_D45
Seq3123;ee=0.0069;size=29;	GFP12_A
Seq3128;ee=0.04;size=29;	Unsorted_M32
Seq3139;ee=0.0099;size=29;	GFP19_A
Seq3152;ee=0.13;size=29;	Unsorted_B47
Seq3161;ee=0.011;size=29;	Unsorted_H22
Seq3179;ee=0.011;size=29;	PD1-Avidin5_N
Seq3216;ee=0.0062;size=28;	Unsorted_N3
Seq3248;ee=0.012;size=28;	Unsorted_H39
Seq3239;ee=0.017;size=28;	Unsorted_B45
Seq3257;ee=0.041;size=28;	Luciferase44_N
Seq3266;ee=0.018;size=28;	Unsorted_J67
Seq3295;ee=0.29;size=28;	Unsorted_N41
Seq3321;ee=0.017;size=27;	Native_J1
Seq3316;ee=0.017;size=27;	Unsorted_J35
Seq3332;ee=0.0062;size=27;	Luciferase4_N
Seq3366;ee=0.018;size=27;	Unsorted_K7
Seq3377;ee=0.017;size=27;	Unsorted_F61
Seq3384;ee=0.015;size=27;	Unsorted_L29
Seq3411;ee=0.014;size=26;	Unsorted_L41
Seq3443;ee=0.012;size=26;	Unsorted_P31
Seq3502;ee=0.01;size=25;	PD1-Avidin50_N
Seq3518;ee=0.017;size=25;	Unsorted_I61
Seq3544;ee=0.012;size=25;	Unsorted_P1
Seq3542;ee=0.011;size=25;	PD1-Avidin30_N
Seq3559;ee=0.012;size=25;	Unsorted_P25
Seq3600;ee=0.012;size=24;	Unsorted_P52
Seq3598;ee=0.013;size=24;	Unsorted_L10
Seq3631;ee=0.015;size=24;	Unsorted_O22
Seq3670;ee=0.013;size=24;	Unsorted_L23
Seq3714;ee=0.0059;size=23;	Unsorted_A65
Seq3743;ee=0.0098;size=23;	PD1-Avidin1_A
Seq3766;ee=0.0062;size=23;	VEGF42_N
Seq3810;ee=0.012;size=22;	Unsorted_P21
Seq3828;ee=0.015;size=22;	Unsorted_E24
Seq3855;ee=0.014;size=22;	Unsorted_D12
Seq3863;ee=0.0088;size=22;	Unsorted_M52
Seq3869;ee=0.015;size=22;	Unsorted_Q51
Seq3866;ee=0.014;size=22;	Unsorted_D17
Seq3882;ee=0.017;size=22;	Unsorted_L6
Seq3888;ee=0.13;size=22;	Unsorted_Q69
Seq3890;ee=0.013;size=22;	Unsorted_L33
Seq3920;ee=0.067;size=22;	Unsorted_B4
Seq3940;ee=0.012;size=21;	Unsorted_P37
Seq3963;ee=0.015;size=21;	Unsorted_E44
Seq4007;ee=0.0059;size=21;	PD1-Avidin35_A
Seq4038;ee=0.0062;size=21;	VEGF30_N
Seq4052;ee=0.012;size=21;	Unsorted_P4
Seq4058;ee=0.015;size=21;	Unsorted_E22
Seq4061;ee=0.0059;size=21;	CTLA-Avidin14_A
Seq4091;ee=0.017;size=20;	Unsorted_B13
Seq4145;ee=0.014;size=20;	Unsorted_P64
Seq4151;ee=0.015;size=20;	Unsorted_D7
Seq4184;ee=0.02;size=20;	Unsorted_G30
Seq4218;ee=0.056;size=20;	Unsorted_F56
Seq4216;ee=0.017;size=20;	Unsorted_J30
Seq4261;ee=0.0059;size=19;	Unsorted_A14
Seq4267;ee=0.017;size=19;	Unsorted_J33
Seq4265;ee=0.22;size=19;	Unsorted_P15
Seq4318;ee=0.014;size=19;	PE37_O
Seq4349;ee=0.015;size=19;	Unsorted_Q73
Seq4395;ee=0.015;size=18;	Unsorted_Q23
