Seq4171;ee=0.013;size=21;	Unsorted_L53
Seq4191;ee=0.016;size=21;	Unsorted_E30
Seq4207;ee=0.017;size=21;	Unsorted_J64
Seq4295;ee=0.023;size=20;	Unsorted_C37
Seq4313;ee=0.018;size=20;	CTLA-Tris-Carb35_K
Seq4340;ee=0.022;size=20;	Unsorted_C50
Seq4348;ee=0.013;size=20;	Unsorted_L75
Seq4367;ee=0.011;size=20;	Unsorted_H45
Seq4377;ee=0.021;size=20;	Unsorted_G33
Seq4409;ee=0.042;size=20;	Unsorted_F13
Seq4428;ee=0.0059;size=20;	CTLA-Avidin14_A
Seq4440;ee=0.0059;size=19;	PD1-Avidin28_A
Seq4445;ee=0.02;size=19;	Unsorted_G30
Seq4456;ee=0.017;size=19;	Native_F1
Seq4462;ee=0.0062;size=19;	Unsorted_N18
Seq4506;ee=0.045;size=19;	Unsorted_L67
Seq4534;ee=0.0059;size=19;	CTLA-Tris-Carb50_A
Seq4592;ee=0.0062;size=18;	VEGF34_N
Seq4629;ee=0.012;size=18;	Unsorted_H29
Seq4641;ee=0.0059;size=18;	GFP44_A
Seq4693;ee=0.017;size=18;	Unsorted_F18
Seq4710;ee=0.49;size=18;	Unsorted_E51
Seq4795;ee=0.016;size=17;	Unsorted_B30
Seq4811;ee=0.0059;size=17;	Unsorted_A69
Seq4818;ee=0.019;size=17;	Unsorted_B60
Seq4825;ee=0.0059;size=17;	Unsorted_A34
Seq4884;ee=0.012;size=17;	Unsorted_P9
Seq4949;ee=0.017;size=16;	Unsorted_J63
Seq4957;ee=0.017;size=16;	Unsorted_I50
Seq4959;ee=0.017;size=16;	Unsorted_I2
Seq4964;ee=0.019;size=16;	Unsorted_Q38
Seq4966;ee=0.018;size=16;	Unsorted_F45
Seq4991;ee=0.0059;size=16;	PD1-Avidin49_A
Seq5013;ee=0.012;size=16;	Unsorted_H15
Seq5024;ee=0.015;size=16;	Unsorted_E56
Seq5101;ee=0.0059;size=16;	CTLA-Avidin43_A
Seq5088;ee=0.013;size=16;	Unsorted_L7
Seq5093;ee=0.023;size=16;	Unsorted_C22
Seq5133;ee=0.023;size=15;	Unsorted_C62
Seq5177;ee=0.015;size=15;	Unsorted_E44
Seq5189;ee=0.011;size=15;	Unsorted_H59
Seq5190;ee=0.017;size=15;	Unsorted_I17
Seq5217;ee=0.023;size=15;	Unsorted_C25
Seq5220;ee=0.0062;size=15;	Unsorted_N66
Seq5246;ee=0.012;size=15;	Unsorted_P68
Seq5276;ee=0.015;size=15;	Unsorted_Q29
Seq5280;ee=0.026;size=15;	Unsorted_C52
Seq5279;ee=0.023;size=15;	Unsorted_F46
Seq5275;ee=0.0062;size=15;	PD1-Avidin7_N
Seq5324;ee=0.019;size=14;	Unsorted_I68
Seq5313;ee=0.0062;size=14;	Luciferase4_N
Seq5341;ee=0.015;size=14;	Unsorted_Q23
