Seq2906;ee=0.0059;size=66;	PD1-Avidin1_A
Seq2954;ee=0.019;size=65;	Unsorted_D74
Seq2944;ee=0.013;size=65;	Unsorted_L1
Seq2959;ee=0.0062;size=64;	Unsorted_N59
Seq2976;ee=0.016;size=64;	Unsorted_B29
Seq3017;ee=0.017;size=63;	Unsorted_F21
Seq3018;ee=0.0059;size=63;	PD1-Avidin28_A
Seq3022;ee=0.0059;size=63;	PE36_A
Seq3045;ee=0.023;size=62;	Unsorted_C25
Seq3048;ee=0.0062;size=62;	VEGF24_N
Seq3052;ee=0.0062;size=62;	Unsorted_N43
Seq3162;ee=0.017;size=59;	Unsorted_J32
Seq3166;ee=0.0059;size=59;	PD1-Avidin46_A
Seq3218;ee=0.0062;size=58;	PD1-Avidin7_N
Seq3224;ee=0.017;size=58;	Unsorted_I34
Seq3244;ee=0.013;size=57;	Unsorted_L29
Seq3289;ee=0.015;size=56;	Unsorted_E36
Seq3294;ee=0.017;size=56;	Unsorted_B30
Seq3298;ee=0.0059;size=56;	CTLA-Avidin47_A
Seq3309;ee=0.017;size=56;	Unsorted_L67
Seq3316;ee=0.0059;size=56;	Unsorted_A58
Seq3321;ee=0.018;size=55;	Unsorted_K70
Seq3335;ee=0.0059;size=55;	Unsorted_A34
Seq3341;ee=0.017;size=55;	Unsorted_I62
Seq3344;ee=0.0059;size=55;	PD1-Avidin39_A
Seq3370;ee=0.042;size=54;	Unsorted_F38
Seq3412;ee=0.0059;size=54;	GFP40_A
Seq3432;ee=0.017;size=53;	Unsorted_F56
Seq3435;ee=0.019;size=53;	Native_J1
Seq3445;ee=0.017;size=53;	Unsorted_J50
Seq3489;ee=0.0062;size=52;	VEGF16_N
Seq3514;ee=0.0062;size=52;	VEGF42_N
Seq3532;ee=0.013;size=51;	Unsorted_L8
Seq3552;ee=0.017;size=51;	Unsorted_J12
Seq3547;ee=0.0059;size=51;	GFP44_A
Seq3576;ee=0.017;size=50;	Unsorted_J33
Seq3602;ee=0.0059;size=50;	Unsorted_A25
Seq3638;ee=0.059;size=49;	Unsorted_L23
Seq3676;ee=0.0059;size=48;	GFP19_A
Seq3704;ee=0.014;size=48;	Unsorted_D17
Seq3707;ee=0.0062;size=48;	Luciferase4_N
Seq3716;ee=0.011;size=48;	Unsorted_H15
Seq3766;ee=0.018;size=47;	Unsorted_K15
Seq3781;ee=0.0059;size=46;	PD1-Avidin49_A
Seq3797;ee=0.018;size=46;	Unsorted_K25
Seq3801;ee=0.11;size=46;	Unsorted_C22
Seq3820;ee=0.0059;size=45;	Unsorted_A7
Seq3826;ee=0.015;size=45;	Unsorted_Q27
Seq3835;ee=0.0062;size=45;	Unsorted_N42
Seq3851;ee=0.0062;size=45;	VEGF34_N
Seq3868;ee=0.0085;size=44;	Unsorted_M2
Seq3881;ee=0.017;size=44;	Unsorted_B60
Seq3888;ee=0.017;size=44;	Unsorted_F6
Seq3910;ee=0.0062;size=44;	Luciferase38_N
Seq3953;ee=0.0059;size=43;	GFP21_A
Seq3962;ee=0.0066;size=43;	CTLA-Avidin3_N
Seq3984;ee=0.015;size=43;	Unsorted_E52
Seq4000;ee=0.0062;size=42;	Unsorted_N60
Seq4030;ee=0.017;size=42;	Unsorted_I39
Seq4040;ee=0.0059;size=42;	PD1-Avidin23_A
Seq4061;ee=0.014;size=41;	Unsorted_Q21
Seq4100;ee=0.013;size=41;	Unsorted_L49
Seq4102;ee=0.015;size=41;	Unsorted_Q30
Seq4126;ee=0.018;size=40;	Unsorted_J19
Seq4181;ee=0.013;size=39;	Unsorted_L60
Seq4204;ee=0.0062;size=39;	PD1-Avidin30_N
Seq4229;ee=0.015;size=39;	Unsorted_E18
Seq4238;ee=0.41;size=38;	GFP36_A
Seq4240;ee=0.0059;size=38;	GFP37_A
Seq4275;ee=0.011;size=38;	Unsorted_H10
